Player,Club,Year,Season,Minutes Played,Shutouts,Win Percentage (%),Save Percentage (%),Year = 1,Year = 2,Year = 3,Year = 4,Year = 5,"Interaction(Shutouts,Win Percentage (%))"
Stefan Frei,SEA,2,1,2970,8,42.4%,66.4%,0,1,0,0,0,3.393939394
Steve Clark,POR,2,1,2880,8,25.0%,69.6%,0,1,0,0,0,2
Andre Blake,PHI,2,1,2880,6,31.3%,66.0%,0,1,0,0,0,1.875
Brian Rowe ,ORL,2,1,2765,9,38.7%,76.4%,0,1,0,0,0,3.483870968
Nick Rimando,RSL,2,1,2700,6,36.7%,66.4%,0,1,0,0,0,2.2
Jake Gleeson,POR,2,1,2470,6,39.3%,73.8%,0,1,0,0,0,2.357142857
Chris Seitz,DC,2,1,2520,10,50.0%,66.3%,0,1,0,0,0,5
Tim Melia,SKC,2,1,2430,8,40.7%,69.5%,0,1,0,0,0,3.259259259
Joe Willis,NSH,2,1,2275,5,19.2%,69.0%,0,1,0,0,0,0.961538462
Sean Johnson,NYC,2,1,1980,5,27.3%,64.2%,0,1,0,0,0,1.363636364
Bobby Shuttleworth,CHI,2,1,1814,5,19.0%,56.2%,0,1,0,0,0,0.952380952
Bill Hamid,DC,2,1,1800,5,40.0%,73.1%,0,1,0,0,0,2
Clint Irwin,COL,2,1,1690,6,33.3%,65.8%,0,1,0,0,0,2
Tim Howard,COL,2,1,1530,7,35.3%,74.0%,0,1,0,0,0,2.470588235
Zac MacMath,RSL,2,1,1530,6,52.9%,68.4%,0,1,0,0,0,3.176470588
Alex Bono,TOR,2,1,1370,4,50.0%,70.0%,0,1,0,0,0,2
Brad Knighton,NE,2,1,1153,2,50.0%,63.3%,0,1,0,0,0,1
Travis Worra,DC,2,1,1170,4,23.1%,65.4%,0,1,0,0,0,0.923076923
Matt Lampson,CLB,2,1,990,3,9.1%,72.4%,0,1,0,0,0,0.272727273
Tyler Deric,HOU,2,1,772,4,25.0%,83.8%,0,1,0,0,0,1
Adam Kwarasey,POR,2,1,590,0,16.7%,61.3%,0,1,0,0,0,0
Alec Kann,ATL,2,1,630,2,28.6%,60.7%,0,1,0,0,0,0.571428571
